author,predicted reliability,0
lisamurkowski,1,327
maziehirono,0,36
maziehirono,1,188
michaelcburgess,0,46
michaelcburgess,1,321
rep_stevewomack,0,22
rep_stevewomack,1,223
repbenraylujan,0,55
repbenraylujan,1,352
repblumenauer,0,33
repblumenauer,1,106
repcleaver,0,54
repcleaver,1,286
repdavidscott,0,17
repdavidscott,1,197
repdelgado,0,13
repdelgado,1,355
repdinatitus,0,51
repdinatitus,1,272
repdonyoung,0,8
repdonyoung,1,86
repgregwalden,0,20
repgregwalden,1,216
repjimcooper,0,56
repjimcooper,1,219
repjohnlewis,0,10
repjohnlewis,1,32
repkevinhern,0,9
repkevinhern,1,33
replouiegohmert,0,18
replouiegohmert,1,135
repmarkpocan,0,67
repmarkpocan,1,133
reptimmons,0,8
reptimmons,1,103
rosadelauro,0,52
rosadelauro,1,260
sendavidperdue,0,19
sendavidperdue,1,141
senrobportman,0,41
senrobportman,1,230
teammoulton,0,29
teammoulton,1,180
virginiafoxx,0,35
virginiafoxx,1,203
